manufacturer,head_model,nozzle_model,pressure_psi,flow_gpm,radius_ft,arc_degrees,precip_square_in_hr,precip_triangle_in_hr,notes
Hunter,PGP-ADJ,Red-7,50,3.4,40,180,0.41,0.47,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-7,60,3.7,40,180,0.45,0.51,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-8,30,3.2,37,180,0.45,0.52,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-8,40,3.7,39,180,0.47,0.54,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-8,50,3.9,41,180,0.45,0.52,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-8,60,4.6,42,180,0.5,0.58,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-9,30,3.6,38,180,0.48,0.55,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-9,40,4.3,41,180,0.49,0.57,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-9,50,5.2,44,180,0.52,0.6,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-9,60,5.5,45,180,0.52,0.6,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-10,40,6.0,44,180,0.6,0.69,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-10,50,6.8,46,180,0.62,0.71,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-10,60,7.6,47,180,0.66,0.76,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-10,70,8.2,49,180,0.66,0.76,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-11,40,8.0,46,180,0.73,0.84,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-11,50,8.9,48,180,0.74,0.86,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-11,60,9.8,50,180,0.75,0.87,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-11,70,10.5,51,180,0.78,0.9,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-12,40,10.5,46,180,0.96,1.1,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-12,50,11.9,48,180,0.99,1.15,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-12,60,12.7,50,180,0.98,1.13,Source: https://www.hunterirrigation.com/print/pdf/node/861
Hunter,PGP-ADJ,Red-12,70,14.1,52,180,1.0,1.16,Source: https://www.hunterirrigation.com/print/pdf/node/861
